"ID","Coefficient..as.reported.in.the.article.","Standard.error..as.reported.in.the.article.","t.value...z.value..as.reported.in.the.article.","Lower.derounding.bound.of.t.value..this.is.the.smallest.t.value.consistent.with.the.reported.statistical.values..rounded.to.6.decimal.places.","Upper.derounding.bound.of.t.value..this.is.the.largest.t.value.consistent.with.the.reported.statistical.values..rounded.to.6.decimal.places.","Type.of.test..as.reported.in.the.article.","p.value.interval.as.implied.by.reported.statistical.values...this.is.the.p.value.interval.corresponding.to.the.lower.and.upper.derounding.bound.of.the.t.value.and.the.type.of.test..using.the.standard.normal.distribution.and.rounded.to.6.decimal.places.","p.value.interval.as.reported.by.means.of.eye.catchers","Error.in.coefficient","Error.in.standard.error","Error.in.t.value...z.value","Error.in.p.value","Error.in.eye.catcher","There.is.no.reporting.error","I.don.t.know","Error.occurred.while.transferring.results.from.statistical.software.to.Word..Latex.etc.","Error.occurred.while.updating.tables.during.the.research...review.process","Error.occured.in.typesetting.by.the.publisher.and.remained.undetected.in.proofreading","Reporting.error.is.falsely.diagnosed.due.to.low.degrees.of.freedom.of.the.corresponding.test..algorithm.to.detect.reporting.errors.relies.on.critical.values.of.the.standard.normal.distribution.","I.don.t.know.1","Other.reason","error_id","paper_id","our_comment"
6,-48.623,29.337,NA,1.65735,1.65744,"two sided","0.097430 < p < 0.097449","0 < p < 0.01",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,"1.75711o4_4_1_B_1.5_1","11o9.0999999999999949",NA
7,0.652,0.139,NA,4.670251,4.711191,"two sided","0.000002 < p < 0.000003","0.05 < p < 0.1",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,"4.7711o4_4_1_B_2_1.25","11o9.0999999999999949",NA
8,0.522,0.162,NA,3.209231,3.235294,"two sided","0.001215 < p < 0.001331","0.05 < p < 0.1",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,"3.30911o4_4_1_B_2_1.5","11o9.0999999999999949",NA
9,0.469,0.051,NA,9.097087,9.29703,"two sided","0.000000 < p < 0.000001","0.05 < p < 0.1",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,"9.19711o4_4_2_0.25_0.25","11o9.0999999999999949",NA
10,30.438,6.039,NA,5.039738,5.040739,"two sided","0.000000 < p < 0.000001","0.05 < p < 0.1",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,"5.1411o4_4_2_0.5_0.25","11o9.0999999999999949",NA
1,-7.9,6.3,NA,1.23622,1.272,"two sided","0.203373 < p < 0.216377","0.01 < p < 0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.3369n1_2_3_0.75_1","9n1.0999999999999917",NA
1,1,0.05,NA,9.090909,33.333333,"two sided","0.000000 < p < 0.000001","0.01 < p < 0.05",NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,"9.19110g3_4_4_0.25_0.25","10g8.339",NA
2,0.97,0.07,NA,12.866667,15,"two sided","0.000000 < p < 0.000001","0.01 < p < 0.05",NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,"12.96710g3_4_4_0.25_0.75","10g8.339",NA
3,0.89,0.17,NA,5.057143,5.424242,"two sided","0.000000 < p < 0.000001","0.01 < p < 0.05",NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,"5.15710g3_4_4_0.25_1","10g8.339",NA
4,0.93,0.17,NA,5.285714,5.666667,"two sided","0.000000 < p < 0.000001","0.01 < p < 0.05",NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,"5.38610g3_4_4_0.25_1.5","10g8.339",NA
5,3.97,0.87,NA,4.531429,4.595376,"two sided","0.000004 < p < 0.000006","0.01 < p < 0.05",NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,"4.63110g3_4_4_0.75_0.5","10g8.339",NA
1,0.144,0.065,NA,2.19084,2.24031,"two sided","0.025071 < p < 0.028463","0 < p < 0.01",NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,"2.2918n3_4_5_0.25_0.5","8n8.539",NA
2,-0.114,0.042,NA,2.670588,2759036,"two sided","0.005797 < p < 0.007572","0.01 < p < 0.05",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2.7718n3_4_5_1.25_0.75","8n8.539","low df"
3,-0.831,0.375,NA,2.211718,2.220294,"two sided","0.026399 < p < 0.026986","0.1 < p < 1",NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,"2.3128n3_4_7_0.75_1","8n8.539",NA
4,0.355,0.213,NA,1.660422,1.672941,"two sided","0.094339 < p < 0.096830","0.1 < p < 1",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"1.768n3_4_9_0.75_0.75","8n8.539","low df"
1,-2.56,0.977,NA,2.618414,2.62212,"two sided","0.008738 < p < 0.008834","0.01 < p < 0.05",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,"2.7186i3_0_3_1.25_1.25","6i3.0999999999999935",NA
